datetime,teamperature,humidity
2022-02-19  06:36:43,20,36
2022-02-19  06:37:17,20,36
2022-02-19  06:37:50,20,36
2022-02-19  06:38:24,20,36
2022-02-19  06:38:57,20,36
2022-02-19  06:39:31,20,36
2022-02-19  06:40:04,20,36
2022-02-19  06:40:38,20,36
2022-02-19  06:41:11,20,36
2022-02-19  06:41:45,20,36
2022-02-19  06:42:18,20,36
2022-02-19  06:42:52,20,36
2022-02-19  06:43:25,20,36
2022-02-19  06:43:59,20,36
2022-02-19  06:44:32,20,36
2022-02-19  06:45:06,20,36
2022-02-19  06:45:39,20,36
2022-02-19  06:46:13,20,36
2022-02-19  06:46:46,20,36
2022-02-19  06:47:20,20,35
2022-02-19  06:47:53,20,35
2022-02-19  06:48:27,20,35
2022-02-19  06:49:00,20,36
2022-02-19  06:49:34,20,36
2022-02-19  06:50:07,20,36
2022-02-19  06:50:41,20,36
2022-02-19  06:51:14,20,36
2022-02-19  06:51:48,20,36
2022-02-19  06:52:21,20,35
2022-02-19  06:52:55,20,36
2022-02-19  06:53:28,20,35
2022-02-19  06:54:02,20,35
2022-02-19  06:54:35,20,35
2022-02-19  06:55:09,20,35
2022-02-19  06:55:42,20,36
2022-02-19  06:56:16,20,35
2022-02-19  06:56:49,20,35
2022-02-19  06:57:23,20,35
2022-02-19  06:57:56,20,35
2022-02-19  06:58:30,20,35
2022-02-19  06:59:04,20,35
2022-02-19  06:59:37,20,35
2022-02-19  07:00:11,20,35
2022-02-19  07:00:44,20,35
2022-02-19  07:01:18,20,35
2022-02-19  07:01:51,20,35
2022-02-19  07:02:25,20,35
2022-02-19  07:02:58,20,35
2022-02-19  07:03:32,20,35
2022-02-19  07:04:05,20,35
2022-02-19  07:04:39,20,35
2022-02-19  07:05:12,20,35
2022-02-19  07:05:46,20,35
2022-02-19  07:06:19,20,35
2022-02-19  07:06:53,20,35
2022-02-19  07:07:26,20,35
2022-02-19  07:08:00,20,35
2022-02-19  07:08:33,20,35
2022-02-19  07:09:07,20,35
2022-02-19  07:09:40,20,35
2022-02-19  07:10:14,20,35
2022-02-19  07:10:47,20,35
2022-02-19  07:11:21,20,35
